,,,,,,,,,,,,,,,,,,A,B,C,D
1,¿Qué operador realiza la comparación lógica OR en ARDUINO?,||,&&,!,+,3,0,1,2,D,A,B,C,P1D: ||,P1A: &&,P1B: !,P1C: +,P1A: &&,P1B: !,P1C: +,P1D: ||
2,¿Qué resistencia es más conveniente colocar en serie con un LED para que se encienda a 5V?,220 Ohmios,2200 Ohmios,22 Kilo Ohmios,22 Mega Ohmios,2,3,0,1,C,D,A,B,P2C: 220 Ohmios,P2D: 2200 Ohmios,P2A: 22 Kilo Ohmios,P2B: 22 Mega Ohmios,P2A: 22 Kilo Ohmios,P2B: 22 Mega Ohmios,P2C: 220 Ohmios,P2D: 2200 Ohmios
3,"¿Qué función de ARDUINO, siempre presente, repite sus órdenes constantemente?",void loop(),void setup(),void(),for ,2,3,0,1,C,D,A,B,P3C: void loop(),P3D: void setup(),P3A: void(),P3B: for ,P3A: void(),P3B: for ,P3C: void loop(),P3D: void setup()
4,¿Qué significa la abreviación 'OS' en el lenguaje informático?,Operative System,Open Source,Open Software,Operative Software,2,3,0,1,C,D,A,B,P4C: Operative System,P4D: Open Source,P4A: Open Software,P4B: Operative Software,P4A: Open Software,P4B: Operative Software,P4C: Operative System,P4D: Open Source
5,¿Que tres extensiones son necesarias en una libreria de arduino?, .h .cpp .txt ,.p .hpp .txt,.setup .void .cpp,.ppc .h .txt,0,1,2,3,A,B,C,D,P5A:  .h .cpp .txt ,P5B: .p .hpp .txt,P5C: .setup .void .cpp,P5D: .ppc .h .txt,P5A:  .h .cpp .txt ,P5B: .p .hpp .txt,P5C: .setup .void .cpp,P5D: .ppc .h .txt
6,¿Qué estructura del lenguaje en ARDUINOes la condicional?,if...else,si..no,if...end,while,2,3,0,1,C,D,A,B,P6C: if...else,P6D: si..no,P6A: if...end,P6B: while,P6A: if...end,P6B: while,P6C: if...else,P6D: si..no
7,La función pinMode admite tres modos de operación. ¿Cuál es el incorrecto?, INPUT_PULLDOWN,INPUT,OUTPUT, INPUT_PULLUP,2,3,0,1,C,D,A,B,P7C:  INPUT_PULLDOWN,P7D: INPUT,P7A: OUTPUT,P7B:  INPUT_PULLUP,P7A: OUTPUT,P7B:  INPUT_PULLUP,P7C:  INPUT_PULLDOWN,P7D: INPUT
8,¿Qué función matemática realiza en ARDUINO una regla de tres?,map(),max(),pow(),tres(),1,2,3,0,B,C,D,A,P8B: map(),P8C: max(),P8D: pow(),P8A: tres(),P8A: tres(),P8B: map(),P8C: max(),P8D: pow()
9,¿Con qué relacionas el comando ramdom()?,pseudo-aleatoriedad,Números aleatorios,Números grandes,pre-aleatoriedad,2,3,0,1,C,D,A,B,P9C: pseudo-aleatoriedad,P9D: Números aleatorios,P9A: Números grandes,P9B: pre-aleatoriedad,P9A: Números grandes,P9B: pre-aleatoriedad,P9C: pseudo-aleatoriedad,P9D: Números aleatorios
10,Imprime el resultado en el Monitor Serie y salta a la siguiente línea,Serial.println(),Serial.print(),Serial.printline(),Serial.Write(),0,1,2,3,A,B,C,D,P10A: Serial.println(),P10B: Serial.print(),P10C: Serial.printline(),P10D: Serial.Write(),P10A: Serial.println(),P10B: Serial.print(),P10C: Serial.printline(),P10D: Serial.Write()
11,¿Cómo se denomina el problema que surge cuando la función millis() completa su cuenta y empieza desde cero?,rollover,count-down,time reset,time down-up,0,1,2,3,A,B,C,D,P11A: rollover,P11B: count-down,P11C: time reset,P11D: time down-up,P11A: rollover,P11B: count-down,P11C: time reset,P11D: time down-up
12,¿Qué cuenta la función millis() ?,milisegundos,milésimas,microsegundos,miliminutos,0,1,2,3,A,B,C,D,P12A: milisegundos,P12B: milésimas,P12C: microsegundos,P12D: miliminutos,P12A: milisegundos,P12B: milésimas,P12C: microsegundos,P12D: miliminutos
13,¿Qué máximo valor devuelve una función analogRead()?,1023,1024,255,512,0,1,2,3,A,B,C,D,P13A: 1023,P13B: 1024,P13C: 255,P13D: 512,P13A: 1023,P13B: 1024,P13C: 255,P13D: 512
14,¿Cuál es el máximo valor que puedo escribir con un analogWrite()?,255,256,254,1023,0,1,2,3,A,B,C,D,P14A: 255,P14B: 256,P14C: 254,P14D: 1023,P14A: 255,P14B: 256,P14C: 254,P14D: 1023
15,¿Qué técnica usa la función analogWrite() para poder escribir un valor analógico?,PWM,Transformador,Filtro variable ,FSK,2,3,0,1,C,D,A,B,P15C: PWM,P15D: Transformador,P15A: Filtro variable ,P15B: FSK,P15A: Filtro variable ,P15B: FSK,P15C: PWM,P15D: Transformador
16,¿Qué hace la función tone()?,Toca un tono,Toca una música,Pone a tono ARDUINO,Resetea,1,2,3,0,B,C,D,A,P16B: Toca un tono,P16C: Toca una música,P16D: Pone a tono ARDUINO,P16A: Resetea,P16A: Resetea,P16B: Toca un tono,P16C: Toca una música,P16D: Pone a tono ARDUINO
17,¿Qué función trigonométrica es INCORRECTA en ARDUINO?,sen(),sin(),cos(),tan(),2,3,0,1,C,D,A,B,P17C: sen(),P17D: sin(),P17A: cos(),P17B: tan(),P17A: cos(),P17B: tan(),P17C: sen(),P17D: sin()
18,¿Quién inventó el motor de corriente alterna?,Nikola Tesla,Henry Ford,William Stanley,Thomas Alva Edison,2,3,0,1,C,D,A,B,P18C: Nikola Tesla,P18D: Henry Ford,P18A: William Stanley,P18B: Thomas Alva Edison,P18A: William Stanley,P18B: Thomas Alva Edison,P18C: Nikola Tesla,P18D: Henry Ford
19,¿Cuál es el motor gráfico que usa el videojuego: Duke Nukem Forever?,Unreal Engine 1,Unity,FOX Engine,Unreal Engine 2,3,0,1,2,D,A,B,C,P19D: Unreal Engine 1,P19A: Unity,P19B: FOX Engine,P19C: Unreal Engine 2,P19A: Unity,P19B: FOX Engine,P19C: Unreal Engine 2,P19D: Unreal Engine 1
20,"¿Cuál es el ""Konami Code""?",↑↑↓↓←→←→ B A  START,↑↑↓↓→←→← B A  START,↑↑↓↓←→←→ A B START,↑↓↑↓←←→→ A B START,0,1,2,3,A,B,C,D,P20A: ↑↑↓↓←→←→ B A  START,P20B: ↑↑↓↓→←→← B A  START,P20C: ↑↑↓↓←→←→ A B START,P20D: ↑↓↑↓←←→→ A B START,P20A: ↑↑↓↓←→←→ B A  START,P20B: ↑↑↓↓→←→← B A  START,P20C: ↑↑↓↓←→←→ A B START,P20D: ↑↓↑↓←←→→ A B START
21,¿De qué no está compuesto un sistema de telecomunicaciones?,Código,Canal,Receptor,Emisor,0,1,2,3,A,B,C,D,P21A: Código,P21B: Canal,P21C: Receptor,P21D: Emisor,P21A: Código,P21B: Canal,P21C: Receptor,P21D: Emisor
22,"Teniendo en cuenta los factores físicos como la velocidad de la luz y la temperatura constante en 500 K en la Tierra y la variación de energía interna igual a 0, ¿cuál es la masa del Sol?","1,989 × 10^30 kg","1,989 × 10^35 kg","2,987 × 10^30 kg","1,987 × 10^15 kg",0,1,2,3,A,B,C,D,"P22A: 1,989 × 10^30 kg","P22B: 1,989 × 10^35 kg","P22C: 2,987 × 10^30 kg","P22D: 1,987 × 10^15 kg","P22A: 1,989 × 10^30 kg","P22B: 1,989 × 10^35 kg","P22C: 2,987 × 10^30 kg","P22D: 1,987 × 10^15 kg"
23,"Si tengo 5 velas encendidas y apago 2, ¿cuántas velas me quedan en t=0s?",5,2,3,7,1,2,3,0,B,C,D,A,P23B: 5,P23C: 2,P23D: 3,P23A: 7,P23A: 7,P23B: 5,P23C: 2,P23D: 3
24,¿Cuál es el apellido de Mario y Luigi?,Mario,Bros,Ravioli,Monchini,2,3,0,1,C,D,A,B,P24C: Mario,P24D: Bros,P24A: Ravioli,P24B: Monchini,P24A: Ravioli,P24B: Monchini,P24C: Mario,P24D: Bros
25,"¿Cuál es el porcentaje aproximado de aprobados en la asignatura ""Física I""?",15%,74%,5%,56%,1,2,3,0,B,C,D,A,"P25B: 0,15","P25C: 0,74","P25D: 0,05","P25A: 0,56","P25A: 0,56","P25B: 0,15","P25C: 0,74","P25D: 0,05"
26,Quién ha muerto más veces a lo largo de bola de dragón,Krillin,Goku,Vegeta,Yamcha,1,2,3,0,B,C,D,A,P26B: Krillin,P26C: Goku,P26D: Vegeta,P26A: Yamcha,P26A: Yamcha,P26B: Krillin,P26C: Goku,P26D: Vegeta
27,¿Cuál de estos lenguajes de programación no existe?,Vulkan,Python,Java Script,SQL,0,1,2,3,A,B,C,D,P27A: Vulkan,P27B: Python,P27C: Java Script,P27D: SQL,P27A: Vulkan,P27B: Python,P27C: Java Script,P27D: SQL
28,¿En qué año consiguió el hombre llegar a la Luna?,1969,1986,1980,1964,1,2,3,0,B,C,D,A,P28B: 1969,P28C: 1986,P28D: 1980,P28A: 1964,P28A: 1964,P28B: 1969,P28C: 1986,P28D: 1980
29,¿Cuál de estos personajes NO es de Nintendo?,Spyro,Samus Aran,Ike,Rey Dedede,0,1,2,3,A,B,C,D,P29A: Spyro,P29B: Samus Aran,P29C: Ike,P29D: Rey Dedede,P29A: Spyro,P29B: Samus Aran,P29C: Ike,P29D: Rey Dedede
30,¿Cuál fue el primer videojuego creado en la histora?,OXO,Pong,Space War,Tenis for Two,1,2,3,0,B,C,D,A,P30B: OXO,P30C: Pong,P30D: Space War,P30A: Tenis for Two,P30A: Tenis for Two,P30B: OXO,P30C: Pong,P30D: Space War
31,¿Cual fue el primer grupo de k-pop en ganar en los Billboards?,BTS,Block B,EXO,B.A.P,1,2,3,0,B,C,D,A,P31B: BTS,P31C: Block B,P31D: EXO,P31A: B.A.P,P31A: B.A.P,P31B: BTS,P31C: Block B,P31D: EXO
32,¿Qué descarga eléctrica de la atmósfera puede alcanzar los 100 millones de voltios?,Rayo,Trueno,Impactrueno,Relámpago,1,2,3,0,B,C,D,A,P32B: Rayo,P32C: Trueno,P32D: Impactrueno,P32A: Relámpago,P32A: Relámpago,P32B: Rayo,P32C: Trueno,P32D: Impactrueno
33,¿Cual es el coche mas rapido del mundo?,Hennessey Venom f5,Koenigsegg Agera RS,Bugatti Chiron,Tesla Roadster,3,0,1,2,D,A,B,C,P33D: Hennessey Venom f5,P33A: Koenigsegg Agera RS,P33B: Bugatti Chiron,P33C: Tesla Roadster,P33A: Koenigsegg Agera RS,P33B: Bugatti Chiron,P33C: Tesla Roadster,P33D: Hennessey Venom f5
34,¿Cuántos mundos existen en el anime de Mirai Nikki?,3,2,4,Infinitos,0,1,2,3,A,B,C,D,P34A: 3,P34B: 2,P34C: 4,P34D: Infinitos,P34A: 3,P34B: 2,P34C: 4,P34D: Infinitos
35,¿Cual es la velocidad mas rapida alcanzada por un automovil?,484 km/h,380 km/h,350km/h,399 km/h,0,1,2,3,A,B,C,D,P35A: 484 km/h,P35B: 380 km/h,P35C: 350km/h,P35D: 399 km/h,P35A: 484 km/h,P35B: 380 km/h,P35C: 350km/h,P35D: 399 km/h
36,¿En qué lenguaje funciona Arduino?,C++,Java ,C#,JavaScript,0,1,2,3,A,B,C,D,P36A: C++,P36B: Java ,P36C: C#,P36D: JavaScript,P36A: C++,P36B: Java ,P36C: C#,P36D: JavaScript
37,¿De cuántos colores puede ser Yoshi?,10,9,7,8,3,0,1,2,D,A,B,C,P37D: 10,P37A: 9,P37B: 7,P37C: 8,P37A: 9,P37B: 7,P37C: 8,P37D: 10
38,"A qué equivale el número ""e''...",2'718,2718,3'718,35,2,3,0,1,C,D,A,B,P38C: 2'718,P38D: 2718,P38A: 3'718,P38B: 35,P38A: 3'718,P38B: 35,P38C: 2'718,P38D: 2718
39,¿Que hdad de jerez es servita?,Angustias,tres caidas,yo que se hulio,a saber,1,2,3,0,B,C,D,A,P39B: Angustias,P39C: tres caidas,P39D: yo que se hulio,P39A: a saber,P39A: a saber,P39B: Angustias,P39C: tres caidas,P39D: yo que se hulio
40,¿Quién sobrevive en Vengadores: Infinity War?,Iron Man,Spider-Man,Drax,Bruja Escarlata,2,3,0,1,C,D,A,B,P40C: Iron Man,P40D: Spider-Man,P40A: Drax,P40B: Bruja Escarlata,P40A: Drax,P40B: Bruja Escarlata,P40C: Iron Man,P40D: Spider-Man
41,¿Cómo se llama el mayor enemigo de MegaMan?,Dr. Willy,Dr. Strange,Dr. House,Mr. Sebastian,2,3,0,1,C,D,A,B,P41C: Dr. Willy,P41D: Dr. Strange,P41A: Dr. House,P41B: Mr. Sebastian,P41A: Dr. House,P41B: Mr. Sebastian,P41C: Dr. Willy,P41D: Dr. Strange
42,¿Cómo se llama el informante de Ikebukuro y antagonista en el anime Durarara?,Izaya Orihara,Shizuo Heiwajima,Celty,Izaya Heiwajima,3,0,1,2,D,A,B,C,P42D: Izaya Orihara,P42A: Shizuo Heiwajima,P42B: Celty,P42C: Izaya Heiwajima,P42A: Shizuo Heiwajima,P42B: Celty,P42C: Izaya Heiwajima,P42D: Izaya Orihara
43,¿Qué mide el tubo de Pitot?,La presion total.,Velocidad del aire.,Viscosidad del aire.,Velocidad del avión.,2,3,0,1,C,D,A,B,P43C: La presion total.,P43D: Velocidad del aire.,P43A: Viscosidad del aire.,P43B: Velocidad del avión.,P43A: Viscosidad del aire.,P43B: Velocidad del avión.,P43C: La presion total.,P43D: Velocidad del aire.
44,¿Quin es el piloto que mas grandes premios de motociclismo ha ganado?,Valentino Rossi,Marc  Márquez,Giacomo Agostni,Mick Doohan,3,0,1,2,D,A,B,C,P44D: Valentino Rossi,P44A: Marc  Márquez,P44B: Giacomo Agostni,P44C: Mick Doohan,P44A: Marc  Márquez,P44B: Giacomo Agostni,P44C: Mick Doohan,P44D: Valentino Rossi